299630,366670,332950,324020,350660,371590,367450,358850,106990,471130,516430,451370,515440,517100,517510,458180,591690,676610,651660,625920,628320,632390,668340,572340
329180,372950,366850,308040,376720,373880,374890,371280,368700,430200,470980,452660,474690,484200,474130,455760,525070,534710,533460,552350,528020,532170,522110,470710
348150,383510,371160,377810,380090,399310,388490,396680,396100,505610,499710,486680,548000,553910,545970,506180,665680,718390,705690,704270,703750,684880,653650,680120
335610,378120,391020,392280,344910,400720,393800,389890,415790,488700,473920,497590,533010,548980,520570,460910,737820,640900,727470,693950,694630,706370,752800,676820
298470,357540,354510,359100,376270,369470,372020,378190,407360,458540,433650,478160,516370,502810,506490,489830,661860,704060,701130,742550,741920,748810,740710,696780
300180,376400,370940,365950,327560,373080,401700,415110,445750,495260,542960,522950,498160,516220,521090,507520,678810,658040,721330,686560,746970,754490,722640,724690
345550,385990,407720,412560,383240,405970,389290,386760,426900,518190,525540,486270,500170,528240,520830,512750,655690,677870,694630,711460,642520,735140,725580,714400
383130,404050,409380,400870,429680,402120,382430,395860,399080,499400,425560,464470,516270,501420,509540,498670,567350,686240,703490,716440,706950,755380,757960,699290
393020,437730,433160,455390,381990,421230,425620,387490,419600,475830,464780,470980,493300,511920,527880,493300,629840,568030,680380,693890,771230,738610,756440,768750
420260,447800,410310,450650,375220,428850,438970,402260,453330,465870,515030,547530,571370,517460,506070,495310,639650,696830,696670,688500,742500,725160,764380,721540
383260,447750,425930,409790,403900,407710,427220,408160,535130,506070,515440,510890,527620,539180,492730,505040,694680,647170,670120,638970,699660,760960,738030,689490
400770,451530,427460,441510,385550,417620,427100,440580,450650,500640,521040,530210,541820,547110,523260,516940,697930,666510,645710,631190,655320,746970,736560,653020
397140,402050,431480,428200,422730,435920,424020,411630,435660,510010,510370,509800,540320,525490,512960,518550,456010,629730,667820,613930,727310,737190,743500,747860
395580,440290,430280,431420,421480,433480,430890,411510,462930,510470,510370,529330,545400,506900,509900,518550,550010,651930,606740,637410,669910,664370,716390,561540
328450,371810,374870,367200,397970,394630,380340,378460,433440,465610,469840,482180,467670,479290,463180,451220,484450,525120,549390,571040,544770,536060,548190,501720
10706,11411,13309,19523,358350,337660,356000,327470,432050,449100,506120,473920,483270,499400,467310,496450,639650,667190,594970,681790,659190,636050,590130,597940
