0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000,0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000
0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000,0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000
0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000,0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000
0,0,0,0,0,0,20,20,20,20,20,20,0,0,0,0,0,0,20,20,20,20,20,20
0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000,0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000
0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000,0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000
0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000,0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000
0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000,0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000
0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000,0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000
0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000,0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000
0,0,0,0,0,0,20,20,20,20,20,20,0,0,0,0,0,0,20,20,20,20,20,20
0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000,0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000
0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000,0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000
0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000,0.4,1.27,4,12.7,40,127,401,1266,4000,8000,12640,16000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
