UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT
UT,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,UT
UT,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,UT
UT,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,UT
UT,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,UT
UT,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,UT
UT,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,UT
UT,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,UT
UT,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,FUM,UT
UT,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,UT
UT,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,UT
UT,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,3MUT-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,rhIgG-Fc,UT
